date    ,TA1        ,TA2        ,PM         ,CPU        ,Analysis,working_users,working_s3,working_ec2,s3         ,ec2        ,github,oneoff,working_ebs_quantity,working_ebs_cost,ebs
01/01/2017,7.142857143,14.28571429,1.785714286,1000,        ,1,1,2,1.971252567,1.971252567,10,0,101,2,202
02/01/2017,7.142857143,14.28571429,1.785714286,1010,        ,1,2,4,3.942505133,3.942505133,10,200,102,2.04,208.08
03/01/2017,7.142857143,14.28571429,1.785714286,1020.1,        ,1,3,6,5.9137577,5.9137577,10,0,103,2.0808,214.3224
04/01/2017,7.142857143,14.28571429,1.785714286,1030.301,        ,1,4,8,7.885010267,7.885010267,10,200,104,2.122416,220.731264
05/01/2017,14.28571429,14.28571429,1.785714286,1040.60401,        ,1,5,10,9.856262834,9.856262834,10,0,105,2.16486432,227.3107536
06/01/2017,14.28571429,14.28571429,1.785714286,1051.01005,        ,1,6,12,11.8275154,11.8275154,10,0,106,2.208161606,234.0651303
07/01/2017,14.28571429,14.28571429,1.785714286,1061.520151,        ,2,8,16,15.77002053,15.77002053,20,0,208,2.252324839,468.4835664
08/01/2017,14.28571429,14.28571429,1.785714286,1072.135352,        ,2,10,14.28571429,19.71252567,19.71252567,20,0,210,2.297371335,482.4479804
09/01/2017,14.28571429,14.28571429,1.785714286,1082.856706,2000,2,12,24,23.6550308,23.6550308,20,0,212,2.343318762,496.7835775
10/01/2017,7.142857143,14.28571429,1.785714286,1093.685273,3000,2,14,28,27.59753593,27.59753593,20,150,214,2.390185137,511.4996194
